name,gender,voice_languages,voicebank_types,voice_characteristics,vb_release_date,vb_last_update,creator_name,cover,
TETO KASANE,OTHER,JAPANESE,CV/VCV,BREATHY/WHISPER,"April 1, 2008","October 1, 2012",Sen,http://www.victorviale.com/imagesutau/Kasane_Teto.jpg,
MOMO MOMONE,FEMALE,JAPANESE,VCV,,"April 1, 2008",,Momoko Fujimoto,"http://www.victorviale.com/imagesutau/Momo_Momone.jpg
",
UTA UTANE,FEMALE,JAPANESE,Other,ROBOTIC,"May 10, 2008",,Ameya/Ayame,"http://www.victorviale.com/imagesutau/Uta_Utane.jpg
",
RUKO YOKUNE,OTHER,JAPANESE,CV/VCV,,"November 17, 2008",,mugimeshi,http://www.victorviale.com/imagesutau/Ruko_Yokune.jpg,
MAKO NAGONE,FEMALE,JAPANESE,CV,LOW,"August 20, 2008",,Makonaka,http://www.victorviale.com/imagesutau/Mako_Nagone.jpg,
LUNA AMANE,FEMALE,JAPANESE,CV/VCV,,"October 19, 2008",,Mikoze,"http://www.victorviale.com/imagesutau/Luna_Amane.jpg
",
RITSU NAMINE,MALE,JAPANESE,VCV,,"October 12, 2009",,Canon/Zenigame,http://www.victorviale.com/imagesutau/Ritsu_Namine.jpg,
SORA SUIGA,MALE,JAPANESE,CV/VCV,ROBOTIC,"September 16, 2008",,Arikawa Yuu,http://www.victorviale.com/imagesutau/Sora_Suiga.jpg,
SARA SUIGA,FEMALE,JAPANESE,CV/VCV,SOFT/CHILDISH,"November 8, 2008",,Arikawa Yuu,http://www.victorviale.com/imagesutau/Sara_Suiga.jpg,
KOTO FUUGA,FEMALE,JAPANESE,VCV,,"November 3, 2008",,Rou,"http://www.victorviale.com/imagesutau/Koto_Fuuga.jpg
",
SAYU YURIKA,FEMALE,JAPANESE/CHINESE,CV,,"September 11, 2008",,Riku,http://www.victorviale.com/imagesutau/Yurika_Sayu.jpg,
SAI YURIKA,MALE,JAPANESE,CV,,"December 3, 2010",,Riku,http://www.victorviale.com/imagesutau/Yurika_sai.jpg,
